date_started,date_ended,disaster_type,incident_type,incident_title,days_lasted,county,state,state_abbr,division_name,region_name,fip_code
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Washtenaw County,Michigan,MI,East North Central,Midwest,MI-161
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Washtenaw County,Michigan,MI,East North Central,Midwest,MI-161
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Shiawassee County,Michigan,MI,East North Central,Midwest,MI-155
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Shiawassee County,Michigan,MI,East North Central,Midwest,MI-155
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Seneca County,Ohio,OH,East North Central,Midwest,OH-147
1969-07-15,1969-07-15,DR,Tornado,"Tornadoes, Severe Storms & Flooding",0.0,Seneca County,Ohio,OH,East North Central,Midwest,OH-147
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Seneca County,Ohio,OH,East North Central,Midwest,OH-147
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Delaware County,Ohio,OH,East North Central,Midwest,OH-041
1974-04-04,1974-04-04,DR,Tornado,Tornadoes,0.0,Delaware County,Ohio,OH,East North Central,Midwest,OH-041
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Delaware County,Ohio,OH,East North Central,Midwest,OH-041
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Hancock County,Ohio,OH,East North Central,Midwest,OH-063
2005-08-29,2005-10-01,EM,Hurricane,Hurricane Katrina Evacuation,33.0,Hancock County,Ohio,OH,East North Central,Midwest,OH-063
1965-04-14,1965-04-14,DR,Tornado,Tornadoes & Severe Storms,0.0,Shelby County,Ohio,OH,East North Central,Midwest,OH-149
